capture_id,src_ip,dst_ip,packet_count,total_bytes,avg_pkt_len,std_pkt_len,mean_ttl,mean_window,tcp_count,udp_count,icmp_count,syn_count,ack_count,fin_count,psh_count,rst_count,unique_dst_ports,avg_src_port,avg_dst_port,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,ack_ratio,fin_ratio,psh_ratio,label,attack_type
capture_01.pcap,10.10.10.26,192.168.1.20,2,80,40.0,0.0,77.5,3131.5,2,0,0,1,1,0,0,0,2,13818.0,51.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.21,3,120,40.0,0.0,60.0,1072.3333333333333,3,0,0,3,0,0,0,0,3,37666.666666666664,181.66666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.22,5,200,40.0,0.0,77.8,2646.8,5,0,0,4,1,0,0,0,3,39021.8,202.0,1.0,0.0,0.0,0.8,0.2,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.23,4,160,40.0,0.0,61.75,2441.5,4,0,0,4,0,0,0,0,2,23841.5,232.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.24,5,189,37.8,4.919349550499538,68.8,1943.8,4,1,0,2,2,0,0,0,3,38841.8,63.0,0.8,0.2,0.0,0.4,0.4,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.25,3,120,40.0,0.0,78.66666666666667,2664.3333333333335,3,0,0,2,1,0,0,0,3,22833.666666666668,181.66666666666666,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.26,4,149,37.25,5.5,58.0,1719.75,3,1,0,3,0,0,0,0,4,48473.75,149.5,0.75,0.25,0.0,0.75,0.0,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.27,5,200,40.0,0.0,56.6,2913.4,5,0,0,5,0,0,0,0,2,32686.6,45.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.28,4,160,40.0,0.0,58.0,2643.25,4,0,0,4,0,0,0,0,3,12618.0,141.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,SYN Flood
capture_01.pcap,10.10.10.26,192.168.1.29,6,240,40.0,0.0,58.333333333333336,2201.5,6,0,0,6,0,0,0,0,3,33259.333333333336,130.83333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,SYN Flood
